Rat gene stable ID,Gene stable ID version,Mouse gene stable ID
ENSRNOG00000052401,ENSG00000252900.1,ENSMUSG00000088944
ENSRNOG00000059436,ENSG00000252900.1,ENSMUSG00000088944
ENSRNOG00000066860,ENSG00000252689.1,ENSMUSG00000065202
ENSRNOG00000060473,ENSG00000252689.1,ENSMUSG00000065202
ENSRNOG00000056888,ENSG00000252689.1,ENSMUSG00000065202
,ENSG00000243980.3,
,ENSG00000252315.1,
,ENSG00000252012.1,
,ENSG00000273966.1,
,ENSG00000252173.1,
,ENSG00000252323.1,
ENSRNOG00000038569,ENSG00000169953.12,ENSMUSG00000045336
,ENSG00000236429.1,
,ENSG00000249501.1,
,ENSG00000228193.1,
,ENSG00000248573.1,
,ENSG00000230904.1,
,ENSG00000238135.1,
,ENSG00000251970.1,
,ENSG00000238088.1,
,ENSG00000217179.1,
,ENSG00000217896.2,
,ENSG00000185275.6,
ENSRNOG00000058212,ENSG00000252766.1,
,ENSG00000274282.1,
,ENSG00000234529.2,
,ENSG00000238191.3,
,ENSG00000226353.1,
,ENSG00000226449.1,
,ENSG00000225896.1,
,ENSG00000229129.1,
,ENSG00000223555.1,
,ENSG00000235521.1,
,ENSG00000252513.1,
,ENSG00000224964.1,
,ENSG00000225740.1,
,ENSG00000229138.1,
,ENSG00000224485.1,
,ENSG00000226116.1,
,ENSG00000237558.1,
,ENSG00000233378.1,
,ENSG00000237616.1,
,ENSG00000224033.1,
,ENSG00000230412.1,
,ENSG00000225895.1,
,ENSG00000233120.1,
,ENSG00000252166.1,
,ENSG00000232744.1,
,ENSG00000229465.1,
,ENSG00000236599.1,
,ENSG00000232899.1,
,ENSG00000229302.1,
,ENSG00000228945.3,
,ENSG00000278391.1,
,ENSG00000251953.1,
,ENSG00000252667.1,
,ENSG00000249726.1,
,ENSG00000225716.1,
,ENSG00000229406.1,
,ENSG00000252209.1,
,ENSG00000249634.1,
,ENSG00000238067.1,
,ENSG00000233546.1,
,ENSG00000230377.1,
,ENSG00000250951.1,
,ENSG00000230458.1,
,ENSG00000235479.1,
,ENSG00000249606.1,
,ENSG00000267793.1,
,ENSG00000260197.1,
ENSRNOG00000060496,ENSG00000012817.16,ENSMUSG00000056673
ENSRNOG00000038569,ENSG00000172468.14,ENSMUSG00000045336
ENSRNOG00000029850,ENSG00000176679.9,ENSMUSG00000100194
ENSRNOG00000029850,ENSG00000176679.9,ENSMUSG00000100133
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000091987
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000094658
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000093918
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000094511
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000102053
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000095948
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000096520
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000095852
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000093987
ENSRNOG00000060963,ENSG00000169800.14,ENSMUSG00000101667
ENSRNOG00000022855,ENSG00000182415.11,
,ENSG00000233126.3,
,ENSG00000227251.1,
,ENSG00000252633.1,ENSMUSG00002075826
,ENSG00000251996.1,
,ENSG00000252472.1,
,ENSG00000224953.1,
,ENSG00000274365.1,
,ENSG00000233634.1,
,ENSG00000237701.1,
,ENSG00000273906.1,
,ENSG00000232976.1,
,ENSG00000226270.3,
,ENSG00000227837.1,
,ENSG00000278602.1,
,ENSG00000223978.1,
,ENSG00000278197.1,
,ENSG00000230819.1,
,ENSG00000185894.8,
,ENSG00000228296.1,
ENSRNOG00000023474,ENSG00000205916.12,ENSMUSG00000010592
ENSRNOG00000022855,ENSG00000129873.8,
,ENSG00000251841.1,
ENSRNOG00000064645,ENSG00000184895.8,ENSMUSG00000069036
ENSRNOG00000068692,ENSG00000184895.8,ENSMUSG00000069036
ENSRNOG00000066858,ENSG00000184895.8,ENSMUSG00000069036
ENSRNOG00000070071,ENSG00000184895.8,ENSMUSG00000069036
ENSRNOG00000066009,ENSG00000184895.8,ENSMUSG00000069036
,ENSG00000232195.1,
,ENSG00000286130.1,
,ENSG00000129824.16,
,ENSG00000229163.2,
,ENSG00000278847.1,
,ENSG00000067646.12,
,ENSG00000223600.1,
,ENSG00000215414.4,
,ENSG00000224035.1,
,ENSG00000223915.1,
ENSRNOG00000057231,ENSG00000067048.17,ENSMUSG00000069045
,ENSG00000234059.1,
ENSRNOG00000060617,ENSG00000183878.16,ENSMUSG00000068457
,ENSG00000154620.6,
,ENSG00000129864.7,
ENSRNOG00000023474,ENSG00000187191.16,ENSMUSG00000010592
ENSRNOG00000023474,ENSG00000188120.16,ENSMUSG00000010592
ENSRNOG00000051714,ENSG00000251925.1,ENSMUSG00000065036
,ENSG00000286744.1,
,ENSG00000236647.1,
,ENSG00000099721.16,
,ENSG00000092377.15,
ENSRNOG00000023474,ENSG00000205944.12,ENSMUSG00000010592
,ENSG00000226555.1,
,ENSG00000228787.1,
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000091987
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000094658
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000093918
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000094511
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000102053
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000095948
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000096520
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000095852
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000093987
ENSRNOG00000060963,ENSG00000242389.9,ENSMUSG00000101667
,ENSG00000165246.15,
,ENSG00000229343.1,
,ENSG00000232695.1,
,ENSG00000235511.1,
,ENSG00000232914.1,
,ENSG00000223655.1,
,ENSG00000230854.1,
,ENSG00000252625.1,
,ENSG00000227635.1,
,ENSG00000237546.1,
,ENSG00000172283.10,
,ENSG00000227867.1,
,ENSG00000231716.1,
,ENSG00000234744.1,
,ENSG00000233156.1,
,ENSG00000225876.1,
ENSRNOG00000051714,ENSG00000251796.1,ENSMUSG00000065036
,ENSG00000252948.1,ENSMUSG00000088432
,ENSG00000233843.1,
,ENSG00000129862.7,
,ENSG00000235451.1,
,ENSG00000225624.1,
,ENSG00000280969.2,
,ENSG00000224482.1,
,ENSG00000216844.1,
,ENSG00000229551.2,
,ENSG00000226504.1,
,ENSG00000254488.1,
,ENSG00000237427.1,
,ENSG00000232634.1,
,ENSG00000226918.1,
,ENSG00000183146.4,
,ENSG00000236615.1,
,ENSG00000169849.8,
,ENSG00000169811.8,
,ENSG00000242393.1,
,ENSG00000228257.1,
,ENSG00000184991.3,
,ENSG00000271123.1,
,ENSG00000226042.1,
,ENSG00000237023.1,
,ENSG00000229416.1,
,ENSG00000230029.1,
,ENSG00000224169.1,
,ENSG00000223407.1,
,ENSG00000226873.1,
,ENSG00000227915.1,
,ENSG00000236620.1,
,ENSG00000224866.1,
,ENSG00000232424.1,
,ENSG00000252681.1,
,ENSG00000232910.1,
,ENSG00000232845.1,
,ENSG00000237302.1,
,ENSG00000252468.1,
,ENSG00000231341.1,
,ENSG00000235001.3,
,ENSG00000214207.2,
,ENSG00000278585.1,
,ENSG00000235175.1,
,ENSG00000231540.1,
,ENSG00000223362.1,
,ENSG00000231026.1,
,ENSG00000224571.1,
,ENSG00000226369.1,
,ENSG00000280961.1,
,ENSG00000227871.1,
,ENSG00000251917.1,
,ENSG00000231423.1,
,ENSG00000228465.1,
,ENSG00000232585.1,
,ENSG00000234081.1,
ENSRNOG00000022855,ENSG00000172352.5,
,ENSG00000231375.1,
,ENSG00000237467.1,
,ENSG00000229250.1,
,ENSG00000232205.1,
,ENSG00000230977.1,
,ENSG00000274234.1,
,ENSG00000225491.1,
,ENSG00000224827.1,
,ENSG00000233740.1,
,ENSG00000279274.2,
,ENSG00000234399.1,
,ENSG00000227439.1,
,ENSG00000224210.1,
,ENSG00000232003.2,
,ENSG00000235412.1,
,ENSG00000183795.8,
,ENSG00000240566.1,
,ENSG00000236379.2,
,ENSG00000274899.1,
,ENSG00000227633.1,
,ENSG00000279115.2,
,ENSG00000233652.1,
,ENSG00000233944.1,
,ENSG00000223636.1,
,ENSG00000172297.7,
,ENSG00000278242.1,
,ENSG00000233619.1,
,ENSG00000237823.1,
,ENSG00000229709.1,
,ENSG00000232064.1,
,ENSG00000225609.1,
,ENSG00000270535.1,
,ENSG00000225287.1,
,ENSG00000225256.1,
,ENSG00000223856.1,
,ENSG00000235004.1,
,ENSG00000252426.1,
,ENSG00000231141.1,
,ENSG00000232614.1,
,ENSG00000225326.1,
,ENSG00000223406.1,
,ENSG00000224240.1,
,ENSG00000227629.1,
,ENSG00000237917.1,
,ENSG00000231514.1,
,ENSG00000232235.1,
,ENSG00000224408.1,
,ENSG00000238154.1,
,ENSG00000232924.1,
,ENSG00000275310.1,
,ENSG00000232808.1,
ENSRNOG00000054648,ENSG00000233803.9,
,ENSG00000228383.7,
,ENSG00000286120.1,
,ENSG00000237802.7,
,ENSG00000286173.1,
ENSRNOG00000054648,ENSG00000229549.9,
ENSRNOG00000054648,ENSG00000228927.10,
ENSRNOG00000054648,ENSG00000258992.7,
ENSRNOG00000054648,ENSG00000236424.7,
,ENSG00000224336.2,
,ENSG00000234110.1,
,ENSG00000226223.1,
,ENSG00000232617.1,
,ENSG00000224075.2,
,ENSG00000228379.1,
,ENSG00000274445.1,
,ENSG00000231874.3,
,ENSG00000234950.1,
,ENSG00000243643.1,
,ENSG00000278478.1,
,ENSG00000251766.1,
,ENSG00000252289.1,
,ENSG00000231411.1,
,ENSG00000226061.1,
,ENSG00000237447.1,
,ENSG00000225840.2,
,ENSG00000251705.1,
,ENSG00000237195.1,
ENSRNOG00000054648,ENSG00000168757.13,
,ENSG00000275352.1,
,ENSG00000234583.1,
,ENSG00000235094.3,
,ENSG00000229643.2,
,ENSG00000235895.1,
,ENSG00000232620.1,
,ENSG00000228571.1,
,ENSG00000226092.4,
,ENSG00000227166.1,
,ENSG00000227204.1,
,ENSG00000232475.1,
,ENSG00000227447.1,
,ENSG00000230727.1,
,ENSG00000224151.1,
,ENSG00000275578.1,
,ENSG00000224166.1,
,ENSG00000226011.1,
,ENSG00000231311.1,
,ENSG00000227494.2,
,ENSG00000205936.3,
,ENSG00000225189.1,
,ENSG00000230073.1,
,ENSG00000232583.1,
,ENSG00000234888.1,
,ENSG00000235014.1,
,ENSG00000229238.3,
,ENSG00000188399.5,
,ENSG00000277146.1,
,ENSG00000226611.2,
,ENSG00000240438.2,
,ENSG00000237269.1,
,ENSG00000225466.1,
,ENSG00000235981.2,
,ENSG00000223698.3,
,ENSG00000242854.1,
,ENSG00000172342.5,
,ENSG00000284071.1,
,ENSG00000248792.2,
,ENSG00000284380.1,
,ENSG00000172294.7,
,ENSG00000239304.1,
,ENSG00000197092.5,
,ENSG00000235583.2,
,ENSG00000215506.5,
,ENSG00000197038.6,
,ENSG00000188656.8,
,ENSG00000270073.1,
,ENSG00000236786.1,
,ENSG00000231436.1,
,ENSG00000229208.1,
,ENSG00000187657.6,
,ENSG00000238235.1,
,ENSG00000223744.1,
ENSRNOG00000013876,ENSG00000027001.10,ENSMUSG00000021993
,ENSG00000269099.2,
,ENSG00000215604.3,
,ENSG00000283579.1,
,ENSG00000271429.1,
,ENSG00000228036.1,
,ENSG00000240868.1,
,ENSG00000232102.1,
,ENSG00000274351.1,
,ENSG00000218198.3,
,ENSG00000233259.4,
,ENSG00000179141.9,
ENSRNOG00000014945,ENSG00000102753.10,ENSMUSG00000021929
,ENSG00000276958.1,
,ENSG00000278477.1,
ENSRNOG00000008989,ENSG00000165475.15,ENSMUSG00000021947
,ENSG00000260388.2,
,ENSG00000223782.1,
,ENSG00000275202.1,
ENSRNOG00000011603,ENSG00000102547.19,ENSMUSG00000021981
,ENSG00000286779.1,
,ENSG00000270809.1,
,ENSG00000232786.1,
,ENSG00000225179.2,
,ENSG00000223724.1,
ENSRNOG00000009063,ENSG00000120675.6,ENSMUSG00000022013
ENSRNOG00000039832,ENSG00000132975.8,ENSMUSG00000041468
,ENSG00000236758.5,
,ENSG00000279025.1,
,ENSG00000274316.1,
,ENSG00000271190.1,
,ENSG00000231910.1,
ENSRNOG00000048898,ENSG00000132970.14,ENSMUSG00000029636
,ENSG00000232986.1,
ENSRNOG00000012660,ENSG00000133110.15,ENSMUSG00000027750
,ENSG00000234590.1,
ENSRNOG00000014478,ENSG00000102531.16,ENSMUSG00000033487
,ENSG00000286709.1,
,ENSG00000234213.1,
,ENSG00000274549.1,
,ENSG00000225350.1,
ENSRNOG00000014153,ENSG00000183722.9,ENSMUSG00000048332
,ENSG00000232647.1,
,ENSG00000279325.1,
,ENSG00000234421.2,
,ENSG00000277040.1,
,ENSG00000227213.1,
,ENSG00000271140.1,
,ENSG00000285935.1,
,ENSG00000223717.1,
,ENSG00000234765.1,
ENSRNOG00000009987,ENSG00000023516.9,ENSMUSG00000022016
ENSRNOG00000068487,ENSG00000204899.6,ENSMUSG00000033186
,ENSG00000286057.1,
,ENSG00000286146.1,
,ENSG00000278678.1,
,ENSG00000279647.1,
,ENSG00000276841.1,
,ENSG00000232954.2,
ENSRNOG00000010980,ENSG00000120685.20,ENSMUSG00000049504
,ENSG00000280372.1,
,ENSG00000179381.8,
,ENSG00000286148.1,
,ENSG00000279477.1,
,ENSG00000279303.1,
,ENSG00000280614.1,
,ENSG00000280330.1,
,ENSG00000234159.1,
,ENSG00000229336.1,
,ENSG00000224141.6,
,ENSG00000233676.2,
,ENSG00000235965.2,
,ENSG00000227075.1,
,ENSG00000225735.1,
,ENSG00000232193.1,
,ENSG00000226771.1,
,ENSG00000198618.5,
,ENSG00000226818.1,
,ENSG00000279177.1,
,ENSG00000234340.1,
,ENSG00000231755.1,
,ENSG00000236433.1,
,ENSG00000165837.12,ENSMUSG00000022002
,ENSG00000237569.1,
,ENSG00000286155.1,
ENSRNOG00000001916,ENSG00000154646.9,ENSMUSG00000022857
,ENSG00000275226.1,
,ENSG00000136149.6,
,ENSG00000229708.1,
,ENSG00000280431.1,
ENSRNOG00000009208,ENSG00000083535.16,ENSMUSG00000022064
,ENSG00000275592.1,
,ENSG00000219368.3,
,ENSG00000225906.1,
,ENSG00000228184.1,
,ENSG00000244278.1,
,ENSG00000287801.1,
,ENSG00000273872.1,
,ENSG00000215326.3,
,ENSG00000223870.1,
,ENSG00000279895.1,
ENSRNOG00000029029,ENSG00000154639.19,ENSMUSG00000044860
,ENSG00000236972.2,
ENSRNOG00000024798,ENSG00000136122.18,ENSMUSG00000022070
,ENSG00000277282.1,
ENSRNOG00000031100,ENSG00000150361.12,ENSMUSG00000022076
,ENSG00000215005.2,
,ENSG00000231058.1,
,ENSG00000279186.1,
,ENSG00000215353.2,
,ENSG00000237444.1,
,ENSG00000217026.3,
,ENSG00000238265.1,
,ENSG00000229306.1,
,ENSG00000278181.1,
,ENSG00000226204.1,
,ENSG00000229289.1,
,ENSG00000286222.1,
,ENSG00000224832.2,
,ENSG00000279156.1,
,ENSG00000278106.1,
,ENSG00000228708.1,
,ENSG00000231136.1,
,ENSG00000230233.1,
,ENSG00000234439.1,
,ENSG00000226996.5,
,ENSG00000227510.4,
,ENSG00000286012.1,
,ENSG00000234145.1,
,ENSG00000279511.1,
,ENSG00000231620.1,
,ENSG00000228611.2,
,ENSG00000229824.1,
,ENSG00000214281.3,
,ENSG00000225221.1,
ENSRNOG00000002080,ENSG00000142207.7,ENSMUSG00000039929
,ENSG00000232380.1,
ENSRNOG00000024237,ENSG00000136155.17,ENSMUSG00000022123
,ENSG00000286032.1,
,ENSG00000232263.1,
,ENSG00000286091.1,
,ENSG00000279990.1,
ENSRNOG00000042848,ENSG00000154721.15,ENSMUSG00000053062
,ENSG00000234730.1,
,ENSG00000228869.1,
,ENSG00000223822.2,
,ENSG00000273919.1,
,ENSG00000230972.1,
,ENSG00000260583.1,
ENSRNOG00000016366,ENSG00000158270.12,ENSMUSG00000036103
,ENSG00000224018.2,
,ENSG00000230256.1,
,ENSG00000227969.1,
,ENSG00000236277.1,
,ENSG00000225352.1,
,ENSG00000227952.2,
,ENSG00000231986.1,
,ENSG00000228319.1,
,ENSG00000215357.2,
,ENSG00000225267.1,
,ENSG00000237109.1,
,ENSG00000226554.1,
ENSRNOG00000027691,ENSG00000156282.5,ENSMUSG00000055811
ENSRNOG00000021670,ENSG00000150893.11,ENSMUSG00000037016
,ENSG00000232260.2,
,ENSG00000223563.1,
,ENSG00000232512.6,
,ENSG00000215369.3,
,ENSG00000215317.2,
,ENSG00000259981.1,
,ENSG00000215351.3,
,ENSG00000235514.1,
ENSRNOG00000048374,ENSG00000188694.6,ENSMUSG00000050239
,ENSG00000281181.1,
,ENSG00000219592.2,
,ENSG00000265514.2,
,ENSG00000279167.1,
,ENSG00000233206.1,
ENSRNOG00000002104,ENSG00000156304.15,ENSMUSG00000022983
,ENSG00000265316.1,
,ENSG00000267425.1,
,ENSG00000263505.1,
,ENSG00000214249.3,
,ENSG00000204918.3,
,ENSG00000279885.1,
,ENSG00000229910.1,
,ENSG00000261627.1,
,ENSG00000266065.1,
ENSRNOG00000009431,ENSG00000136111.14,ENSMUSG00000033083
ENSRNOG00000018516,ENSG00000141401.12,ENSMUSG00000024525
,ENSG00000227254.1,
,ENSG00000276208.1,
,ENSG00000230405.1,
,ENSG00000214335.3,
,ENSG00000233349.1,
,ENSG00000227151.4,
,ENSG00000287880.1,
,ENSG00000270400.1,
ENSRNOG00000010058,ENSG00000136158.12,ENSMUSG00000022114
,ENSG00000266153.1,
,ENSG00000266613.1,
,ENSG00000234278.3,
ENSRNOG00000042189,ENSG00000168461.13,ENSMUSG00000056515
,ENSG00000120686.12,ENSMUSG00000027746
,ENSG00000266102.1,
,ENSG00000228597.1,
,ENSG00000279439.1,
,ENSG00000230009.1,
,ENSG00000231667.2,
,ENSG00000285742.1,
,ENSG00000266127.1,
ENSRNOG00000007816,ENSG00000102554.14,ENSMUSG00000005148
ENSRNOG00000008785,ENSG00000102554.14,ENSMUSG00000005148
,ENSG00000265477.1,
,ENSG00000266251.1,
,ENSG00000265413.1,
,ENSG00000273284.1,
,ENSG00000266955.1,
,ENSG00000233300.1,
ENSRNOG00000037227,ENSG00000176105.14,ENSMUSG00000014932
,ENSG00000227342.1,
ENSRNOG00000002126,ENSG00000154654.15,ENSMUSG00000022762
,ENSG00000271776.1,
,ENSG00000229865.1,
ENSRNOG00000047413,ENSG00000174015.10,ENSMUSG00000034913
,ENSG00000224188.1,
,ENSG00000237001.7,
,ENSG00000239490.1,
,ENSG00000267651.1,
,ENSG00000237527.1,
,ENSG00000266809.1,
,ENSG00000264587.5,
,ENSG00000237731.1,
,ENSG00000229246.2,
,ENSG00000281383.1,
,ENSG00000218549.2,
,ENSG00000226670.1,
,ENSG00000215368.5,
,ENSG00000225801.1,
,ENSG00000264434.2,
,ENSG00000235564.2,
ENSRNOG00000012710,ENSG00000134882.16,ENSMUSG00000041765
,ENSG00000266805.1,
,ENSG00000227721.1,
,ENSG00000234107.1,
,ENSG00000266237.1,
,ENSG00000231231.5,
,ENSG00000286627.1,
,ENSG00000278052.1,
,ENSG00000263862.2,
,ENSG00000227330.1,
,ENSG00000264596.1,
ENSRNOG00000001571,ENSG00000156284.6,ENSMUSG00000050520
,ENSG00000277534.1,
,ENSG00000287834.1,
,ENSG00000287109.1,
,ENSG00000266891.1,
,ENSG00000227090.1,
,ENSG00000273348.1,
,ENSG00000237609.1,
,ENSG00000287803.1,
,ENSG00000279534.1,
,ENSG00000279648.1,
,ENSG00000237138.1,
ENSRNOG00000042503,ENSG00000178127.13,ENSMUSG00000024099
,ENSG00000279967.1,
ENSRNOG00000002092,ENSG00000142149.9,ENSMUSG00000053414
ENSRNOG00000001088,ENSG00000133119.13,ENSMUSG00000033970
,ENSG00000275945.1,
ENSRNOG00000001554,ENSG00000154642.11,ENSMUSG00000022864
ENSRNOG00000018648,ENSG00000154889.17,ENSMUSG00000062526
,ENSG00000184856.7,
,ENSG00000235550.1,
ENSRNOG00000060662,ENSG00000152192.8,ENSMUSG00000048349
,ENSG00000279718.1,
,ENSG00000287247.1,
ENSRNOG00000026236,ENSG00000159256.13,ENSMUSG00000039456
,ENSG00000232041.1,
ENSRNOG00000013707,ENSG00000182957.16,ENSMUSG00000021990
ENSRNOG00000002036,ENSG00000159086.15,ENSMUSG00000022974
,ENSG00000266505.1,
,ENSG00000235625.1,
ENSRNOG00000070230,ENSG00000188811.14,ENSMUSG00000042997
ENSRNOG00000013280,ENSG00000102837.7,ENSMUSG00000022026
,ENSG00000214051.3,
,ENSG00000230584.1,
,ENSG00000204919.1,
,ENSG00000223880.1,
ENSRNOG00000010989,ENSG00000065150.21,ENSMUSG00000030662
ENSRNOG00000014503,ENSG00000101489.20,ENSMUSG00000024268
,ENSG00000271486.1,
ENSRNOG00000028670,ENSG00000205929.11,ENSMUSG00000039851
,ENSG00000279784.1,
,ENSG00000228861.5,
,ENSG00000286149.1,
,ENSG00000230379.5,
ENSRNOG00000002001,ENSG00000205726.15,ENSMUSG00000022957
,ENSG00000225501.1,
ENSRNOG00000008986,ENSG00000139734.19,ENSMUSG00000022021
